claim_id,batch,source_id,claim_type,formal_status,model,mathlib_area,preconditions,formal_statement,label
bh-biased-002,B08,breitner-heninger-2019,,conditional,plain,(unassigned),,,The authors recovered hundreds of Bitcoin private keys from public signatures.
bh-biased-003,B08,breitner-heninger-2019,,conditional,plain,(unassigned),,,"The study also covers Ethereum, Ripple, SSH, and HTTPS data."
bh-biased-004,B08,breitner-heninger-2019,,conditional,quantum,(not in Mathlib: quantum circuit cost model),,,The attack handles short nonces and shared prefixes or suffixes.
bh-biased-005,B08,breitner-heninger-2019,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Repeated nonce reuse gives direct algebraic key recovery.
bh-biased-006,B08,breitner-heninger-2019,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Knowing a nonce reveals the private key through the ECDSA equation.
bh-biased-007,B08,breitner-heninger-2019,,conditional,plain,(unassigned),,,Each vulnerable signature yields a modular equation with a bounded error term.
bh-biased-008,B08,breitner-heninger-2019,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,The paper compares leakage attacks with generic Pollard-rho search on reduced nonce spaces.
bh-biased-009,B08,breitner-heninger-2019,,conditional,oracle_leakage,(complexity: needs explicit cost model),leakage/oracle_model,,The advantage comes from nonce bias and does not improve generic ECDLP complexity.
bh-biased-010,B08,breitner-heninger-2019,,conditional,plain,Mathlib.AlgebraicGeometry.EllipticCurve,,,"Bitcoin, Ethereum, and Ripple use secp256k1 in the analyzed setting."
bh-biased-011,B08,breitner-heninger-2019,,conditional,plain,(unassigned),,,Real-world cryptocurrency keys were recovered from public blockchain data.
bh-biased-012,B08,breitner-heninger-2019,,conditional,plain,(unassigned),,,Multiple independent implementation-failure classes were identified.
bh-biased-013,B08,breitner-heninger-2019,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Deterministic nonces prevent several bias failures but do not alone prove side-channel resistance.
bh-biased-014,B08,breitner-heninger-2019,,conditional,plain,(unassigned),,,Signature normalization and protocol details affect preprocessing.
bh-biased-015,B08,breitner-heninger-2019,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,The attack pipeline clusters signatures and tests candidate nonce models.
bh-biased-016,B08,breitner-heninger-2019,,conditional,plain,Mathlib.AlgebraicGeometry.EllipticCurve,,,The work demonstrates real economic exposure from implementation failures on secp256k1 systems.
bv-hnp-001,B08,boneh-venkatesan-1996,,conditional,plain,(unassigned),,,Hidden Number Problem formalizes recovery of a secret from approximate modular products.
bv-hnp-002,B08,boneh-venkatesan-1996,,conditional,oracle_leakage,(not in Mathlib: lattice reduction),leakage/oracle_model,,HNP assumes public multipliers and bounded errors involving a hidden value.
bv-hnp-003,B08,boneh-venkatesan-1996,,conditional,oracle_leakage,(not in Mathlib: lattice reduction),leakage/oracle_model,,Suitable HNP instances reduce to a lattice closest-vector style problem.
bv-hnp-004,B08,boneh-venkatesan-1996,,conditional,plain,(unassigned),,,Sufficient approximate information about random modular products can determine the hidden number under stated conditions.
bv-hnp-005,B08,boneh-venkatesan-1996,,conditional,plain,(unassigned),,,The result is not a direct attack on random single-target ECDLP.
bv-hnp-006,B08,boneh-venkatesan-1996,,conditional,plain,(unassigned),,,Success depends on the multiplier distribution and approximation accuracy.
bv-hnp-007,B08,boneh-venkatesan-1996,,conditional,plain,(not in Mathlib: lattice reduction),,,The lattice embedding converts modular relations and bounded errors into a geometric recovery problem.
bv-hnp-008,B08,boneh-venkatesan-1996,,conditional,plain,(unassigned),,,The method requires auxiliary information beyond G and Q=[x]G.
bv-hnp-009,B08,boneh-venkatesan-1996,,conditional,oracle_leakage,(not in Mathlib: lattice reduction),leakage/oracle_model,,HNP later becomes applicable to nonce-leakage attacks because ECDSA yields linear modular relations.
bv-hnp-010,B08,boneh-venkatesan-1996,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,The theorem does not cover arbitrary noisy or adversarial leakage.
bv-hnp-011,B08,boneh-venkatesan-1996,,conditional,plain,Mathlib.AlgebraicGeometry.EllipticCurve,,,Applicability to secp256k1 is implementation-conditional rather than curve-structural.
bv-hnp-012,B08,boneh-venkatesan-1996,,conditional,plain,(not in Mathlib: lattice reduction),,,The paper provides a reusable abstraction linking approximate modular information to lattices.
hgs-lattice-001,B08,howgrave-smart-2001,,conditional,plain,(unassigned),,,The attack targets DSA-like signatures when partial bits of many ephemeral keys are known.
hgs-lattice-002,B08,howgrave-smart-2001,,conditional,plain,(unassigned),,,"The attack operates on signature equations, not on a single ECDLP instance."
hgs-lattice-003,B08,howgrave-smart-2001,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Known contiguous nonce bits bound the remaining unknown nonce fragments.
hgs-lattice-004,B08,howgrave-smart-2001,,conditional,plain,(unassigned),,,The modular signature equations can be transformed into simultaneous small-unknown congruences.
hgs-lattice-005,B08,howgrave-smart-2001,,conditional,oracle_leakage,(not in Mathlib: lattice reduction),leakage/oracle_model,,A lattice is constructed whose close vector encodes nonce fragments and key information.
hgs-lattice-008,B08,howgrave-smart-2001,,conditional,plain,(not in Mathlib: lattice reduction),,,More signatures can compensate for fewer leaked bits while increasing lattice dimension.
hgs-lattice-009,B08,howgrave-smart-2001,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,The paper reports successful 160-bit experiments for several leakage fractions.
hgs-lattice-010,B08,howgrave-smart-2001,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Very small leakage fractions became infeasible in the reported implementation.
hgs-lattice-011,B08,howgrave-smart-2001,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Recovering one nonce reveals the long-term signing key.
hgs-lattice-012,B08,howgrave-smart-2001,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,The method assumes many signatures under one key and informative leakage per nonce.
hgs-lattice-013,B08,howgrave-smart-2001,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,No generic sub-Pollard ECDLP algorithm is established without leakage.
ladderleak-001,B08,ladderleak-2020,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,LadderLeak exposes probabilistic information about the nonce most-significant bit.
ladderleak-002,B08,ladderleak-2020,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,The leakage is less than one full reliable bit per signature.
ladderleak-003,B08,ladderleak-2020,,conditional,oracle_leakage,(not in Mathlib: lattice reduction),leakage/oracle_model,,Fourier-analysis methods are used for weak and noisy HNP leakage.
ladderleak-004,B08,ladderleak-2020,,conditional,oracle_leakage,(not in Mathlib: lattice reduction),leakage/oracle_model,,Standard lattice attacks become ineffective in the extremely weak-leakage regime studied.
ladderleak-005,B08,ladderleak-2020,,conditional,plain,(not in Mathlib: lattice reduction),,,Bleichenbacher-style methods tolerate erroneous samples better than standard lattice formulations.
ladderleak-006,B08,ladderleak-2020,,conditional,plain,(complexity: needs explicit cost model),,,The paper derives time-space-data tradeoffs via generalized birthday/list-sum connections.
ladderleak-007,B08,ladderleak-2020,,conditional,plain,(unassigned),,,Full key recovery is demonstrated for sect163r1 and NIST P-192.
ladderleak-008,B08,ladderleak-2020,,conditional,plain,Mathlib.AlgebraicGeometry.EllipticCurve,,,"Versions supporting secp256k1 were vulnerable, but the principal full-recovery demonstrations used smaller curves."
ladderleak-010,B08,ladderleak-2020,,conditional,plain,(unassigned),,,"The weakness arises from implementation behavior, not abstract ECDLP."
ladderleak-011,B08,ladderleak-2020,,conditional,oracle_leakage,(complexity: needs explicit cost model),leakage/oracle_model,,"Success depends on group size, leakage probability, errors, data, time, and memory."
ladderleak-012,B08,ladderleak-2020,,conditional,plain,(unassigned),,,Many signatures under the same key are required.
ladderleak-013,B08,ladderleak-2020,,conditional,oracle_leakage,(not in Mathlib: lattice reduction),leakage/oracle_model,,The paper provides optimized HNP implementations and attack records.
ladderleak-014,B08,ladderleak-2020,,conditional,oracle_leakage,(not in Mathlib: lattice reduction),leakage/oracle_model,,The feasible leakage regime is extended beyond earlier lattice-only methods.
ladderleak-015,B08,ladderleak-2020,,conditional,oracle_leakage,(complexity: needs explicit cost model),leakage/oracle_model,,Countermeasures require constant-time and leakage-resistant scalar multiplication.
minerva-001,B08,minerva-2020,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Minerva identifies timing leakage of ECDSA nonce bit-length in a smartcard and several libraries.
minerva-002,B08,minerva-2020,,conditional,oracle_leakage,(not in Mathlib: lattice reduction),leakage/oracle_model,,Nonce bit-length leakage accumulates across signatures and yields lattice key-recovery instances.
minerva-003,B08,minerva-2020,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Full recovery is reported on a 256-bit curve using real and simulated leakage.
minerva-005,B08,minerva-2020,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,"Signature requirements vary with leakage quality, noise, and parameterization."
minerva-007,B08,minerva-2020,,conditional,plain,(unassigned),,,The TPM-FAIL comparison reduces required signatures from about 40000 to about 900.
minerva-008,B08,minerva-2020,,conditional,oracle_leakage,(not in Mathlib: lattice reduction),leakage/oracle_model,,HNP is transformed into CVP-style lattice instances.
minerva-010,B08,minerva-2020,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Deterministic nonces do not eliminate timing leakage from scalar multiplication.
minerva-011,B08,minerva-2020,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Each fresh nonce bit-length contributes new information about the same private key.
minerva-012,B08,minerva-2020,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,The paper distinguishes exploitable from non-exploitable leakage.
minerva-013,B08,minerva-2020,,conditional,plain,(not in Mathlib: lattice reduction),,,Lattice success is sensitive to wrong samples and parameter choices.
minerva-015,B08,minerva-2020,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Real-world 256-bit ECDSA can fail from implementation leakage without solving ECDLP.
minerva-016,B08,minerva-2020,,conditional,oracle_leakage,(complexity: needs explicit cost model),leakage/oracle_model,,"Countermeasures include fixed-length processing, blinding, constant-time code, and leakage testing."
ns-ecdsa-001,B08,nguyen-shparlinski-2003,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Partial ECDSA nonce information can enable recovery of the long-term key under stated assumptions.
ns-ecdsa-002,B08,nguyen-shparlinski-2003,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,The work studies ECDSA modular relations induced by signatures and nonce bits.
ns-ecdsa-003,B08,nguyen-shparlinski-2003,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,The analysis distinguishes leakage of most-significant and least-significant bits.
ns-ecdsa-004,B08,nguyen-shparlinski-2003,,conditional,plain,(not in Mathlib: lattice reduction),,,The recovery is lattice-based and probabilistic.
ns-ecdsa-005,B08,nguyen-shparlinski-2003,,conditional,plain,(unassigned),,,The guarantee depends on sufficiently many signatures.
ns-ecdsa-006,B08,nguyen-shparlinski-2003,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Nonce independence and the stated distributional model are assumptions.
ns-ecdsa-007,B08,nguyen-shparlinski-2003,,conditional,plain,Mathlib.AlgebraicGeometry.EllipticCurve,,,No special algebraic structure of secp256k1 is exploited.
ns-ecdsa-008,B08,nguyen-shparlinski-2003,,conditional,plain,(unassigned),,,"The target is key recovery from signatures with side information, not G and Q alone."
ns-ecdsa-009,B08,nguyen-shparlinski-2003,,conditional,oracle_leakage,(not in Mathlib: lattice reduction),leakage/oracle_model,,The work strengthens the theoretical foundation of HNP-based ECDSA attacks.
ns-ecdsa-010,B08,nguyen-shparlinski-2003,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Incorrect leakage information can violate the recovery conditions.
ns-ecdsa-011,B08,nguyen-shparlinski-2003,,conditional,oracle_leakage,(unassigned),leakage/oracle_model,,Required sample size depends on leakage amount and bit position.
ns-ecdsa-012,B08,nguyen-shparlinski-2003,,conditional,plain,(not in Mathlib: lattice reduction),,,Asymptotic guarantees and concrete lattice behavior must be distinguished.
ns-ecdsa-013,B08,nguyen-shparlinski-2003,,conditional,oracle_leakage,Mathlib.AlgebraicGeometry.EllipticCurve,leakage/oracle_model,,Applicability to secp256k1 is conditional on suitable implementation leakage.
pollard-lambda-005,B01,pollard-1978,,formalizable,plain,Mathlib.GroupTheory.OrderOfElement / Subgroup,,"Let g generate a cyclic group G of order N, and h=g^x with x known to lie in an integer interval of width w. Pollard's lambda (kangaroo) method returns x using expected O(sqrt(w)) group operations, with success probability < 1 (Las Vegas / heuristic).","Pollard's lambda or kangaroo method addresses a discrete logarithm known to lie in an interval of width w, with square-root-order work in w and non-certain success."
pollard-multistage-004,B01,pollard-1978,,formalizable,plain,Mathlib.GroupTheory.OrderOfElement / Subgroup,,"Let |<g>| = N = prod_i p_i^{e_i}. Combining Pohlig-Hellman with a square-root subgroup search solves DLP in <g> using O(sum_i e_i*(sqrt(p_i))) group operations, hence O(sqrt(p_max)) up to lower-order factors, where p_max = max_i p_i.","When the group order factors, a multistage method reduces the dominant work to the square root of the largest prime factor of the order."
pollard-rho-collision-equation-002,B01,pollard-1978,,formalizable,plain,(unassigned),,"Let g generate G of order n and h in <g>. If two walk states coincide, g^{a_i} h^{b_i} = g^{a_j} h^{b_j}, then x = log_g(h) satisfies (a_i - a_j) == x*(b_j - b_i) (mod n). x is uniquely determined when gcd(b_j - b_i, n) = 1; otherwise it is determined modulo n/gcd, leaving gcd candidates.","By tracking exponents in x_i=q^(a_i)r^(b_i), a repeated state yields a modular linear relation from which the discrete logarithm can be recovered when the relevant coefficient is invertible, or after resolving a small gcd ambiguity."
pollard-rho-complexity-001,B01,pollard-1978,,formalizable,plain,Mathlib.GroupTheory.OrderOfElement / Subgroup,,"For a cyclic group G of order n, Pollard's rho finds log_g(h) in expected Theta(sqrt(n)) group operations using O(1) stored points (no sqrt(n)-size table).",Pollard's first index-computation method avoids a square-root-sized stored table and is presented as apparently requiring square-root-order operations.
pollard-rho-memory-003,B01,pollard-1978,,formalizable,plain,Mathlib.GroupTheory.OrderOfElement / Subgroup,,Pollard's rho attains the same Theta(sqrt(n)) expected time as baby-step giant-step while using O(1) storage instead of Theta(sqrt(n)) storage.,"Compared with Shanks-style baby-step giant-step, Pollard's rho method retains square-root-order time while eliminating the square-root table."
sec2-domain-parameters-001,B01,sec2-v2,,formalizable,plain,Mathlib.GroupTheory.OrderOfElement / Subgroup,,"An elliptic-curve domain parameter tuple over F_p is T=(p,a,b,G,n,h) where p is prime, E: y^2 = x^3 + a*x + b over F_p, G in E(F_p), n = ord(G) is prime, and h = #E(F_p)/n (the cofactor).","Elliptic-curve domain parameters over Fp are specified as T=(p,a,b,G,n,h), where p defines Fp, a and b define the curve, G is a base point, n is the prime order of G, and h=#E(Fp)/n."
sec2-secp256k1-field-005,B01,sec2-v2,,formalizable,plain,Mathlib.AlgebraicGeometry.EllipticCurve,,secp256k1 is the curve E: y^2 = x^3 + 7 over F_p with p = 2^256 - 2^32 - 977 (= 0xFFFFFFFF...FFFFFC2F).,secp256k1 is defined over p=0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFEFFFFFC2F with curve equation y^2=x^3+7 over Fp.
sec2-secp256k1-group-006,B01,sec2-v2,,formalizable,plain,Mathlib.GroupTheory.OrderOfElement / Subgroup,,"For secp256k1, the base point G has prime order n = 0xFFFFFFFF...BFD25E8CD0364141 and cofactor h = 1, i.e. #E(F_p) = n.","SEC 2 specifies the secp256k1 base point G, its prime order n=0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFEBAAEDCE6AF48A03BBFD25E8CD0364141, and cofactor h=1."
shoup-generic-lower-bound-003,B01,shoup-1997,,formalizable,generic_group,Mathlib.GroupTheory.OrderOfElement / Subgroup,generic_group_model,"In the generic group model over a group whose order has largest prime divisor p, any algorithm solving DLP with success probability bounded below by a positive constant performs Omega(sqrt(p)) group operations.","Any generic algorithm with success probability bounded below by a positive constant requires Ω(sqrt(p)) group operations, where p is the largest prime divisor of the group order."
teske-rho-baseline-006,B01,teske-2001,,formalizable,plain,(complexity: needs explicit cost model),,"Pollard-rho ECDLP on a group of order n has expected cost O(sqrt(n)) group operations and O(1) space, and parallelizes across m processors with linear speedup via van Oorschot-Wiener distinguished points.","The paper summarizes Pollard-rho ECDLP attacks as requiring expected O(sqrt(n)) group operations, negligible space, and supporting efficient parallelization via van Oorschot–Wiener."
vow-distinguished-points-001,B01,van-oorschot-wiener-1999,,formalizable,plain,(unassigned),,"Fix a distinguished-point predicate D on G with Pr[D] = theta. Pseudorandom trails are stored only at points satisfying D; two trails that collide reach the same distinguished endpoint, so a repeated distinguished endpoint certifies a collision, with expected extra work O(1/theta) per trail.","A distinguished point has an easily tested property; pseudorandom trails terminate at such points, and repeated distinguished endpoints reveal merged trails and hence collisions."
vow-naive-parallel-002,B01,van-oorschot-wiener-1999,,formalizable,plain,(unassigned),,"Running m independent rho walks with disjoint collision domains reduces expected time only by a factor Theta(sqrt(m)) relative to one walk, and the total work across processors is not reduced.",Running m independent rho walks with independent collision domains yields only about a square-root-of-m speedup and wastes total work.
vow-shared-linear-speedup-003,B01,van-oorschot-wiener-1999,,formalizable,plain,(unassigned),,"With a single shared iteration function and a shared distinguished-point database, m processors searching one collision achieve expected wall-clock speedup Theta(m) in the idealized model.","Using a common iteration function and shared distinguished-point database allows m processors to contribute to one collision search, giving a speedup by a factor m in the idealized analysis."
vow-work-per-processor-004,B01,van-oorschot-wiener-1999,,formalizable,plain,(unassigned),,"For useful-collision probability q=1, the expected work per processor to find a collision in a group of order n is sqrt(pi*n/2)/m steps, plus distinguished-point storage and collision-resolution overhead.","For a useful-collision probability q=1, the expected work per processor is analyzed as sqrt(pi*n/2)/m steps, with additional distinguished-point and collision-resolution overhead."
diem2011-two-thirds-003,B02,diem-2011,,formalizable,plain,Mathlib.GroupTheory.OrderOfElement / Subgroup,,"For the summation-polynomial index calculus with factor-base parameter n on the order of sqrt(log q), the expected running time is exp(O((log(q^n))^{2/3})).","For n on the order of sqrt(log q), the paper obtains expected time e^{O(log(q^n)^{2/3})}."
semaev-definition-001,B02,semaev-2004,,formalizable,plain,Mathlib.RingTheory.MvPolynomial (partial),,"The n-th summation polynomial S_n(x_1,...,x_n) of E vanishes at (x_1,...,x_n) in F^n iff there exist points P_i in E(closure) with x-coordinate x_i and a choice of signs such that P_1 + ... + P_n = O (the point at infinity).","The nth summation polynomial vanishes at x-coordinates x1,...,xn exactly when signs/y-coordinates can be chosen so that the corresponding elliptic-curve points sum to the point at infinity."
gg2014-relation-lower-bound-008,B03,galbraith-gebregiyorgis-2014,,formalizable,plain,(unassigned),,"For the random-factor-base prime-field index calculus with practical bound m=4 and factor-base dimension l <= 10, the number of polynomial-system trials is at least about 2^{n-40}; for n > 80 this exceeds the sqrt(#G) generic cost, and each trial costs strictly more than one group operation.","With the practical limit m=4 and factor-base dimension l≤10, the number of polynomial-system trials is at least about 2^(n-40), no better than square-root scale for n above 80, and each trial costs more than a group operation."
cheon-multidivisor-crt-004,B05,cheon-2006,,formalizable,plain,(unassigned),,"Let g have prime order in G and let p-1 = prod_j d_j with the d_j pairwise coprime. If for each j the auxiliary powers associated with d_j are available, then alpha can be reconstructed from its residues modulo the d_j via the Chinese Remainder Theorem.","When auxiliary powers associated with pairwise coprime factors of p-1 are available, Corollary 1 reconstructs alpha by solving smaller components and applying the Chinese remainder theorem."
cheon-optimal-divisor-exponents-008,B05,cheon-2006,,formalizable,plain,(unassigned),,"The Cheon bounds are minimized at d ~ p^{1/2} for the (p-1) case and d ~ p^{1/3} for the (p+1) case, giving best-case complexity exponents about p^{1/4} and p^{1/3} respectively, when auxiliary input for such a divisor d exists.","The paper minimizes its bounds at about d=p^(1/2) for the p-1 case and d=p^(1/3) for the p+1 case, giving best exponents near p^(1/4) and p^(1/3), respectively, when sufficient auxiliary input exists."
cheon-pminus1-theorem-002,B05,cheon-2006,,formalizable,plain,Mathlib.GroupTheory.OrderOfElement / Subgroup,,"Let g have prime order in G, and let d | (p-1). Given g, g^alpha, g^{alpha^d}, the value alpha can be recovered in O(log p * (sqrt((p-1)/d) + sqrt(d))) group operations.","If d divides p-1 and g, g^alpha, and g^(alpha^d) are given in a prime-order group, alpha can be recovered in O(log p*(sqrt((p-1)/d)+sqrt(d))) group operations with the stated memory bound."
cheon-pplus1-theorem-005,B05,cheon-2006,,formalizable,plain,(complexity: needs explicit cost model),,"Let d | (p+1). Given g^{alpha^i} for i over the required range, alpha can be recovered in O(log p * (sqrt((p+1)/d) + d)) group operations.","If d divides p+1 and the sequence g^(alpha^i) through the required range is available, Theorem 2 recovers alpha in O(log p*(sqrt((p+1)/d)+d)) group operations with the stated memory."
ghs-index-complexity-008,B05,ghs-2002,,formalizable,plain,(unassigned),,"For curves of fixed genus g, the factor-base (index-calculus) DLP method runs in O(q^{2+epsilon}); with an optimized factor base the asymptotic cost is O(q^{2g/(g+1)+epsilon}).","For fixed genus g, the cited factor-base method has O(q^(2+epsilon)) behavior, and reducing the factor base yields an optimized asymptotic O(q^(2g/(g+1)+epsilon))."
ghs-theorem1-conditional-complexity-002,B05,ghs-2002,,formalizable,plain,Mathlib.GroupTheory.OrderOfElement / Subgroup,,"For fixed n >= 4 and a curve satisfying the GHS condition, the DLP in the large prime-order subgroup is solved in O(q^{2+epsilon}) time, assuming the kernel of the transfer map is not divisible by that large prime.","For fixed n>=4 and curves satisfying the stated condition, Theorem 1 gives O(q^(2+epsilon)) time in the large prime-order subgroup, assuming the transfer map kernel is not divisible by that large prime."
ghs-transfer-map-dlp-006,B05,ghs-2002,,formalizable,plain,(unassigned),,"If the GHS transfer sends the input points to divisor classes D_1, D_2 not both zero, then the elliptic-curve relation log_P(Q) is mapped to an equivalent discrete-log relation in the divisor class group (Jacobian) of the descended curve.","When the transferred divisor classes D1 and D2 are not both zero, the original elliptic-curve relation can be mapped to an equivalent discrete-log relation in the divisor class group of the descended curve."
mov-generic-extension-degree-obstruction-003,B05,mov-1993,,formalizable,plain,(unassigned),,"In general the MOV reduction is exponential in log(q), because the embedding degree k (the least k with n | q^k - 1) is in general exponentially large in log(q).",The paper explicitly states that the reduction is exponential in log(q) in general because the required extension degree k is exponentially large in general.
mov-group-isomorphism-002,B05,mov-1993,,formalizable,plain,(unassigned),,"Let P have order n and let Q be an n-torsion point such that e_n(P,Q) is a primitive n-th root of unity. Then R |-> e_n(R,Q) is a group isomorphism from <P> onto mu_n, the group of n-th roots of unity.","With Q chosen so that e_n(P,Q) is primitive, the map R -> e_n(R,Q) is a group isomorphism from <P> to the n-th roots of unity."
mov-random-q-success-probability-006,B05,mov-1993,,formalizable,plain,Mathlib.GroupTheory.OrderOfElement / Subgroup,,"For Q chosen uniformly among n-torsion points, Pr[ e_n(P,Q) has order exactly n ] = phi(n)/n, where phi is Euler's totient.","In the randomized construction, the probability that the pairing value has order n is phi(n)/n, so repeated trials are part of the expected-cost analysis."
mov-supersingular-polynomial-reduction-004,B05,mov-1993,,formalizable,plain,(complexity: needs explicit cost model),,"For a supersingular elliptic curve E/F_q, there is a probabilistic polynomial-time reduction from the discrete-log problem in E(F_q) to the discrete-log problem in the multiplicative group of a bounded-degree extension field.","For supersingular elliptic curves, the paper gives a probabilistic polynomial-time reduction from the elliptic-curve logarithm problem to a finite-field logarithm problem."
mov-weil-pairing-target-001,B05,mov-1993,,formalizable,plain,Mathlib.GroupTheory.OrderOfElement / Subgroup,,"For P of order n and a suitable n-torsion point Q in E(F_{q^k}), the Weil pairing e_n maps <P> into mu_n subset of F_{q^k}^*.","For a point P of order n and a suitable n-torsion point Q, the Weil pairing maps the cyclic subgroup generated by P into the subgroup of n-th roots of unity in an extension field."
satoh-anomalous-definition-and-goal-001,B05,satoh-araki-1998,,formalizable,plain,(complexity: needs explicit cost model),,An elliptic curve E/F_p is anomalous iff #E(F_p) = p (equivalently trace of Frobenius a_p = 1). For this class there is a polynomial-time algorithm for the ECDLP.,The paper defines an anomalous elliptic curve over F_p by #E(F_p)=p and announces a polynomial-time discrete-log algorithm for that special class.
satoh-final-polynomial-time-dlp-007,B05,satoh-araki-1998,,formalizable,plain,(complexity: needs explicit cost model),,"For p > 7 and E/F_p anomalous, the discrete logarithm in E(F_p) is computable in O((log p)^3) bit operations.","For p>7, the paper concludes that discrete logarithms in E(F_p) can be solved in O((log p)^3) time when E is anomalous."
